parameter,param_type,participant,mean,2.5%,50%,97.5%,task,feedback,frame,time_pressure,task_label
alpha[1],alpha,1,0.3266713972915853,-0.8181237528112093,0.35817801416920847,1.2577633214226227,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
beta[51],beta,51,0.5060180086155928,-0.7585337568957373,0.4741411251528437,1.9827004485515745,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
beta[52],beta,52,-1.0163962755959859,-2.037123073865994,-1.0058547717853115,-0.01739108225750868,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
beta[53],beta,53,-1.5537621281223954,-2.726359438399139,-1.5371879722204804,-0.540618527419951,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
beta[54],beta,54,0.40078879456107,-0.8157906683892191,0.3728779053796105,1.7740929496487405,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
beta[55],beta,55,-1.1240163069925928,-2.4208508427690125,-1.0995637469956825,0.07498560569192246,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
beta[56],beta,56,-1.8601665614522367,-3.2369649534096707,-1.8349825519338063,-0.7234546710476211,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[1],gamma,1,-0.21531408778633482,-0.785099234947436,-0.21345199579619084,0.3623358238660191,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[2],gamma,2,-0.040163304548149495,-0.5875209571788692,-0.04132700281798297,0.5102554537294942,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[3],gamma,3,0.2932940763877552,-0.2561256463869999,0.29103109282870654,0.8654598860533644,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[4],gamma,4,0.35618395841621864,-0.19166724680232866,0.34861525542465355,0.9314120583033492,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[5],gamma,5,0.6460120070994949,0.06228105458614902,0.6388428014084608,1.274284513482089,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[6],gamma,6,1.119835639241418,0.3929902564520169,1.1070269025175286,1.9225095708899393,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[7],gamma,7,0.09685207966129035,-0.44088071442484394,0.09356458980410748,0.6502072951115172,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[8],gamma,8,0.4170490024797136,-0.40469426320349855,0.41539800388928083,1.2476271227897808,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[9],gamma,9,0.14978961599411508,-0.39383818326975595,0.15430081146283403,0.6848255166792325,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[10],gamma,10,0.18329006105148435,-0.38405309794468073,0.1830088111013256,0.7593773417958304,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[11],gamma,11,-1.404525063781601,-2.151914833173075,-1.3900330089834294,-0.7249465911148627,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
gamma[12],gamma,12,0.6225735225410793,-0.3226281445134107,0.6146440535702593,1.5937166244002154,PartialtickNoTimelimited,Partial,Accept,No TP,Partial | Accept | No TP
