task,parameter,draw_id,n_participants,pearson_r,spearman_rho,rmse,mean_true,mean_recovered,bias,error_hdi95_low,error_hdi95_high,hdi95_crosses_zero,n_divergent,max_rhat,min_n_eff
FulltickTimelimited,beta,2202,65,0.8378333901485272,0.741520979020979,2.1041018882546347,2.355024775732382,3.550416507123091,1.1953917313907085,-2.2988739815700834,5.088994030436453,TRUE,0,1.1744279617067903,2.022408856238448
FulltickTimelimited,gamma,2202,65,0.8991262243060006,0.8654283216783217,0.32914329990671243,0.1300098175311481,0.09945768123102672,-0.030552136300121387,-0.6772797993434045,0.5603149766417953,TRUE,0,1.1744279617067903,2.022408856238448
FulltickTimelimited,eta_decay,2202,65,0.1402801993156504,0.054414335664335664,0.14659935074066938,0.025304255154822743,0.17165737216163354,0.1463531170068108,0.13222020085270772,0.16072892035089786,FALSE,0,1.1744279617067903,2.022408856238448
PartialcrossNoTimelimited,alpha,1712,56,0.12058775648987503,0.08967874231032126,0.24249239853609758,0.5493766159244019,0.7047695630921809,0.15539294716777896,-0.15455979046845497,0.5019752803320414,TRUE,0,1.177181861701856,2.023637723270612
PartialcrossNoTimelimited,beta,1712,56,0.42627624628040844,0.5755980861244019,22.28176649840865,15.262250213899136,5.825084036307156,-9.43716617759198,-36.36355192104166,1.1202450362344805,TRUE,0,1.177181861701856,2.023637723270612
PartialcrossNoTimelimited,gamma,1712,56,0.7946403274986904,0.7730006835269994,0.42466055774144224,0.14657830818499765,0.03800508436470405,-0.10857322382029358,-0.874208223863064,0.8577734865558629,TRUE,0,1.177181861701856,2.023637723270612
PartialcrossNoTimelimited,eta_decay,1712,56,0.39846565432841086,0.48851674641148324,0.47515546695119576,0.448052595650701,0.09200063532861534,-0.3560519603220857,-0.8810328678493533,0.06301215698101795,TRUE,0,1.177181861701856,2.023637723270612
PartialcrossTimelimited,alpha,2614,56,0.4897206051575726,0.4368421052631579,0.19775956765809927,0.5031741730577588,0.5566270707451666,0.05345289768740784,-0.26960285358378444,0.42226470301717667,TRUE,0,1.1049548961725444,2.0266790166581328
PartialcrossTimelimited,beta,2614,56,0.6584565659951308,0.7470266575529734,5.966779578012219,6.655768594467501,6.714871313264284,0.05910271879678328,-17.64109920658289,6.114447518736156,TRUE,0,1.1049548961725444,2.0266790166581328
PartialcrossTimelimited,gamma,2614,56,0.8258788903567174,0.7961722488038278,0.302068596758837,0.35858912558284295,0.34955705606711485,-0.009032069515728094,-0.4592747181955036,0.5208738143914038,TRUE,0,1.1049548961725444,2.0266790166581328
PartialcrossTimelimited,eta_decay,2614,56,0.33728284775758,0.3520847573479152,0.0758848442352352,0.21526512636179077,0.2082126674444116,-0.007052458917379164,-0.19275358827751876,0.10850186721875077,TRUE,0,1.1049548961725444,2.0266790166581328
PartialtickNoTimelimited,alpha,2699,56,0.6914225272118486,0.7157894736842105,0.26522263618344355,0.4406779416276557,0.6186560104282208,0.1779780688005651,-0.16869889899276702,0.4881801736904922,TRUE,0,1.050476512301913,2.0311896622476984
PartialtickNoTimelimited,beta,2699,56,0.5604826697602014,0.452904989747095,4.544822179069042,10.406077350277927,7.3534922552973745,-3.0525850949805524,-8.996317333593293,3.577437786335907,TRUE,0,1.050476512301913,2.0311896622476984
PartialtickNoTimelimited,gamma,2699,56,0.7815307837515608,0.7220779220779221,0.3832040537661876,-0.050318001313155725,0.04254775036113818,0.09286575167429391,-0.5525386390327031,0.7533289668343477,TRUE,0,1.050476512301913,2.0311896622476984
PartialtickNoTimelimited,eta_decay,2699,56,0.341107053227661,0.27928913192071086,0.10987710112453684,0.118583032898392,0.07903937298347795,-0.039543659914914056,-0.27797348519211984,0.07354725799444178,TRUE,0,1.050476512301913,2.0311896622476984
PartialtickTimelimited,alpha,2989,56,0.4265450505279729,0.40861244019138754,0.17717682175441168,0.6614865637036605,0.6169014204443617,-0.0445851432592989,-0.3094867997609792,0.3026806788410655,TRUE,0,1.0617657146518875,2.0291695681509365
PartialtickTimelimited,beta,2989,56,0.7730418952262975,0.7967874231032126,4.5530334568372695,8.88612713657842,10.073323922436419,1.1871967858579981,-7.123944752232795,11.55160534797794,TRUE,0,1.0617657146518875,2.0291695681509365
PartialtickTimelimited,gamma,2989,56,0.7957994349910308,0.7790840738209159,0.36385128505414893,-0.09003042326974668,-0.045961533625012936,0.044068889644733746,-0.5902873031456255,0.7099707844274651,TRUE,0,1.0617657146518875,2.0291695681509365
PartialtickTimelimited,eta_decay,2989,56,0.06119955599189036,0.07915242652084757,0.038540192660385685,0.05169623531173301,0.08379464046858412,0.03209840515685111,-0.011253771942497074,0.0644812040046367,TRUE,0,1.0617657146518875,2.0291695681509365
