task,model,participant_id,participant_index,acc_mean,acc_median,acc_lo10,acc_hi90
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h55.08.707.csv,13,0.5084,0.5,0.4,0.6
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_16h35.37.508.csv,14,0.50535,0.5,0.4,0.6
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_16h36.05.342.csv,15,0.504675,0.5,0.4,0.6
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_16h37.02.72.csv,16,0.497675,0.5,0.4,0.6
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_17h18.18.20.csv,17,0.50585,0.5,0.4,0.6
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-26_09h46.35.938.csv,18,0.706925,0.725,0.6,0.8
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-26_10h17.44.482.csv,19,0.532725,0.525,0.425,0.625
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-26_10h18.33.907.csv,20,0.5226,0.525,0.425,0.625
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-26_10h34.27.259.csv,21,0.5361,0.55,0.425,0.625
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-26_11h42.55.429.csv,22,0.60905,0.625,0.5,0.7
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-26_11h44.40.392.csv,23,0.5046,0.5,0.4,0.6
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-26_11h48.02.587.csv,24,0.662175,0.675,0.55,0.75
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-26_12h23.53.752.csv,25,0.5011,0.5,0.4,0.6
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-26_12h24.02.619.csv,26,0.592775,0.6,0.5,0.7
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-26_12h24.58.522.csv,27,0.509825,0.5,0.4,0.625
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h14.38.296.csv,28,0.5022,0.5,0.4,0.6
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h14.43.724.csv,29,0.540175,0.55,0.45,0.65
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h16.18.617.csv,30,0.541675,0.55,0.45,0.65
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h51.56.59.csv,31,0.5199,0.525,0.4225000000000001,0.625
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h56.52.788.csv,32,0.495975,0.5,0.375,0.6
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-26_15h23.23.995.csv,33,0.653525,0.65,0.55,0.75
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-26_15h23.31.848.csv,34,0.502625,0.5,0.4,0.6
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-26_15h23.39.464.csv,35,0.4915,0.5,0.4,0.575
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-26_16h35.04.300.csv,36,0.5015000000000001,0.5,0.4,0.6
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-26_16h39.13.99.csv,37,0.57245,0.575,0.475,0.675
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h24.57.802.csv,38,0.513075,0.5,0.425,0.625
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h25.01.906.csv,39,0.50205,0.5,0.4,0.6
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h25.48.286.csv,40,0.541675,0.55,0.4475000000000002,0.65
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h26.14.343.csv,41,0.577675,0.575,0.475,0.675
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h27.00.499.csv,42,0.5758,0.575,0.475,0.675
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h14.34.965.csv,43,0.527175,0.525,0.425,0.625
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h27.58.986.csv,44,0.633175,0.625,0.525,0.725
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h54.32.569.csv,45,0.504625,0.5,0.4,0.6
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h54.59.786.csv,46,0.530975,0.525,0.425,0.625
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_15h13.11.612.csv,47,0.5110750000000001,0.525,0.4,0.625
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_15h27.22.142.csv,48,0.512075,0.5125,0.425,0.6
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_15h50.44.307.csv,49,0.5068,0.5,0.4,0.625
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-28_16h07.06.683.csv,50,0.497875,0.5,0.4,0.6
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_10h13.21.731.csv,51,0.519025,0.525,0.425,0.625
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_10h13.27.260.csv,52,0.50695,0.5,0.4,0.6
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_10h46.04.96.csv,53,0.509775,0.5,0.4,0.625
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_13h54.35.383.csv,54,0.51235,0.5,0.4,0.625
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h36.35.682.csv,55,0.4995,0.5,0.4,0.6
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h36.55.458.csv,56,0.5005,0.5,0.4,0.6
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h37.00.325.csv,57,0.495,0.5,0.4,0.6
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h37.04.211.csv,58,0.50525,0.5,0.4,0.6
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h52.03.786.csv,59,0.501025,0.5,0.4,0.6
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_15h10.02.548.csv,60,0.522725,0.525,0.425,0.625
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_15h10.12.614.csv,61,0.510275,0.5,0.4,0.625
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_16h15.23.649.csv,62,0.504175,0.5,0.4,0.6
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_16h15.51.955.csv,63,0.530975,0.525,0.425,0.625
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-12-01_17h32.04.772.csv,64,0.527675,0.525,0.425,0.625
FullcrossTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-12-03_16h10.01.36.csv,65,0.500375,0.5,0.4,0.6
