task,pair,participant_index,correlation
FullcrossNoTimelimited,beta_a vs beta_b,37,-0.6024551446947971
FullcrossNoTimelimited,beta_a vs beta_b,38,-0.601147013562064
FullcrossNoTimelimited,beta_a vs beta_b,39,-0.5938872686409331
FullcrossNoTimelimited,beta_a vs beta_b,40,-0.8782966292053761
FullcrossNoTimelimited,beta_a vs beta_b,41,-0.8846427228929681
FullcrossNoTimelimited,beta_a vs beta_b,42,-0.6777134277597722
FullcrossNoTimelimited,beta_a vs beta_b,43,-0.6237778249013739
FullcrossNoTimelimited,beta_a vs beta_b,44,-0.6124960269147375
FullcrossNoTimelimited,beta_a vs beta_b,45,-0.6390750241297256
FullcrossNoTimelimited,beta_a vs beta_b,46,-0.6834492802594092
FullcrossNoTimelimited,beta_a vs beta_b,47,-0.6466411284280805
FullcrossNoTimelimited,beta_a vs beta_b,48,-0.6061333386965879
FullcrossNoTimelimited,beta_a vs beta_b,49,-0.6341607896091775
FullcrossNoTimelimited,beta_a vs beta_b,50,-0.6150341058346104
FullcrossNoTimelimited,beta_a vs beta_b,51,-0.8391786813269998
FullcrossNoTimelimited,beta_a vs beta_b,52,-0.620264245647193
FullcrossNoTimelimited,beta_a vs beta_b,53,-0.5921051952190776
FullcrossNoTimelimited,beta_a vs beta_b,54,-0.6606385297402264
FullcrossNoTimelimited,beta_a vs beta_b,55,-0.5746250531303597
FullcrossNoTimelimited,beta_a vs beta_b,56,-0.6580595319514801
FullcrossNoTimelimited,beta_a vs beta_b,57,-0.605156823929952
FullcrossNoTimelimited,beta_a vs beta_b,58,-0.608949325265482
FullcrossNoTimelimited,beta_a vs beta_b,59,-0.6323845929306232
FullcrossNoTimelimited,beta_a vs beta_b,60,-0.6257490886760785
FullcrossNoTimelimited,beta_a vs beta_b,61,-0.8315425168342038
FullcrossNoTimelimited,beta_a vs beta_b,62,-0.6295082294741735
FullcrossNoTimelimited,beta_a vs beta_b,63,-0.8202979248967666
FullcrossNoTimelimited,beta_a vs beta_b,64,-0.9578447784984715
FullcrossNoTimelimited,beta_a vs beta_b,65,-0.6429023022759017
FullcrossNoTimelimited,gamma_a vs gamma_b,1,-0.7968363831498163
FullcrossNoTimelimited,gamma_a vs gamma_b,2,-0.7898001598927287
FullcrossNoTimelimited,gamma_a vs gamma_b,3,-0.8081522096739707
FullcrossNoTimelimited,gamma_a vs gamma_b,4,-0.8705687151945489
FullcrossNoTimelimited,gamma_a vs gamma_b,5,-0.8005036152577754
FullcrossNoTimelimited,gamma_a vs gamma_b,6,-0.7798426366444877
FullcrossNoTimelimited,gamma_a vs gamma_b,7,-0.7996013933285154
FullcrossNoTimelimited,gamma_a vs gamma_b,8,-0.8112838925364099
FullcrossNoTimelimited,gamma_a vs gamma_b,9,-0.7853570366223267
FullcrossNoTimelimited,gamma_a vs gamma_b,10,-0.7393541660020141
FullcrossNoTimelimited,gamma_a vs gamma_b,11,-0.8335456803957851
FullcrossNoTimelimited,gamma_a vs gamma_b,12,-0.802624803760624
FullcrossNoTimelimited,gamma_a vs gamma_b,13,-0.8086627320896229
FullcrossNoTimelimited,gamma_a vs gamma_b,14,-0.8187912103855798
FullcrossNoTimelimited,gamma_a vs gamma_b,15,-0.8008235373446616
FullcrossNoTimelimited,gamma_a vs gamma_b,16,-0.8054186802603784
FullcrossNoTimelimited,gamma_a vs gamma_b,17,-0.7950139733181816
FullcrossNoTimelimited,gamma_a vs gamma_b,18,-0.8126355201862057
FullcrossNoTimelimited,gamma_a vs gamma_b,19,-0.8055792025520802
FullcrossNoTimelimited,gamma_a vs gamma_b,20,-0.7984342576880276
FullcrossNoTimelimited,gamma_a vs gamma_b,21,-0.8034187170488072
FullcrossNoTimelimited,gamma_a vs gamma_b,22,-0.8234710039538758
FullcrossNoTimelimited,gamma_a vs gamma_b,23,-0.7952093581300562
FullcrossNoTimelimited,gamma_a vs gamma_b,24,-0.821484369032405
FullcrossNoTimelimited,gamma_a vs gamma_b,25,-0.8344785304741196
FullcrossNoTimelimited,gamma_a vs gamma_b,26,-0.8328056800153087
FullcrossNoTimelimited,gamma_a vs gamma_b,27,-0.8154192994063855
FullcrossNoTimelimited,gamma_a vs gamma_b,28,-0.6543968638879147
FullcrossNoTimelimited,gamma_a vs gamma_b,29,-0.8012823482519607
FullcrossNoTimelimited,gamma_a vs gamma_b,30,-0.845541305102609
FullcrossNoTimelimited,gamma_a vs gamma_b,31,-0.7954837841956661
FullcrossNoTimelimited,gamma_a vs gamma_b,32,-0.7658353454166494
FullcrossNoTimelimited,gamma_a vs gamma_b,33,-0.7983355047072589
FullcrossNoTimelimited,gamma_a vs gamma_b,34,-0.7919629309737628
FullcrossNoTimelimited,gamma_a vs gamma_b,35,-0.7838921599552372
FullcrossNoTimelimited,gamma_a vs gamma_b,36,-0.7901077166646548
FullcrossNoTimelimited,gamma_a vs gamma_b,37,-0.853349160300746
FullcrossNoTimelimited,gamma_a vs gamma_b,38,-0.7906240368899794
FullcrossNoTimelimited,gamma_a vs gamma_b,39,-0.8068389974892772
FullcrossNoTimelimited,gamma_a vs gamma_b,40,-0.7725716430239313
FullcrossNoTimelimited,gamma_a vs gamma_b,41,-0.7775525180290698
FullcrossNoTimelimited,gamma_a vs gamma_b,42,-0.8194340925093463
FullcrossNoTimelimited,gamma_a vs gamma_b,43,-0.7988809533447545
FullcrossNoTimelimited,gamma_a vs gamma_b,44,-0.8243233435555009
FullcrossNoTimelimited,gamma_a vs gamma_b,45,-0.7976352627982519
FullcrossNoTimelimited,gamma_a vs gamma_b,46,-0.7904037058451674
FullcrossNoTimelimited,gamma_a vs gamma_b,47,-0.8134777289928664
FullcrossNoTimelimited,gamma_a vs gamma_b,48,-0.8034296715955672
FullcrossNoTimelimited,gamma_a vs gamma_b,49,-0.8151334176930567
FullcrossNoTimelimited,gamma_a vs gamma_b,50,-0.8040033715833607
FullcrossNoTimelimited,gamma_a vs gamma_b,51,-0.7901108947734633
FullcrossNoTimelimited,gamma_a vs gamma_b,52,-0.7931392289828143
FullcrossNoTimelimited,gamma_a vs gamma_b,53,-0.790121308834894
FullcrossNoTimelimited,gamma_a vs gamma_b,54,-0.8094219908873781
FullcrossNoTimelimited,gamma_a vs gamma_b,55,-0.8270199808162644
FullcrossNoTimelimited,gamma_a vs gamma_b,56,-0.8168750613124302
FullcrossNoTimelimited,gamma_a vs gamma_b,57,-0.7937251413110304
FullcrossNoTimelimited,gamma_a vs gamma_b,58,-0.8089493913370068
FullcrossNoTimelimited,gamma_a vs gamma_b,59,-0.8496182351056988
FullcrossNoTimelimited,gamma_a vs gamma_b,60,-0.7901916147613972
FullcrossNoTimelimited,gamma_a vs gamma_b,61,-0.7723671439884531
FullcrossNoTimelimited,gamma_a vs gamma_b,62,-0.79826051761921
FullcrossNoTimelimited,gamma_a vs gamma_b,63,-0.7920805814140139
FullcrossNoTimelimited,gamma_a vs gamma_b,64,-0.7021721901338497
FullcrossNoTimelimited,gamma_a vs gamma_b,65,-0.8101917202353982
FullcrossTimelimited,alpha_a vs alpha_b,1,-0.5669762787528633
FullcrossTimelimited,alpha_a vs alpha_b,2,-0.3350328958293709
FullcrossTimelimited,alpha_a vs alpha_b,3,-0.44193276966793443
FullcrossTimelimited,alpha_a vs alpha_b,4,-0.3362396896324144
FullcrossTimelimited,alpha_a vs alpha_b,5,-0.40346336892263696
FullcrossTimelimited,alpha_a vs alpha_b,6,-0.34496381255461267
FullcrossTimelimited,alpha_a vs alpha_b,7,-0.5005742546145029
FullcrossTimelimited,alpha_a vs alpha_b,8,-0.32641142122070554
FullcrossTimelimited,alpha_a vs alpha_b,9,-0.3656436643703934
FullcrossTimelimited,alpha_a vs alpha_b,10,-0.5118037688209335
FullcrossTimelimited,alpha_a vs alpha_b,11,-0.34339784921267963
FullcrossTimelimited,alpha_a vs alpha_b,12,-0.3067737734545815
FullcrossTimelimited,alpha_a vs alpha_b,13,-0.33787530021637496
FullcrossTimelimited,alpha_a vs alpha_b,14,-0.31014993045953443
FullcrossTimelimited,alpha_a vs alpha_b,15,-0.3814683884066605
FullcrossTimelimited,alpha_a vs alpha_b,16,-0.36362886941269906
FullcrossTimelimited,alpha_a vs alpha_b,17,-0.4698719939051107
FullcrossTimelimited,alpha_a vs alpha_b,18,-0.4053511114890861
FullcrossTimelimited,alpha_a vs alpha_b,19,-0.5338059382198034
FullcrossTimelimited,alpha_a vs alpha_b,20,-0.3944842076514172
FullcrossTimelimited,alpha_a vs alpha_b,21,-0.2702601062632406
FullcrossTimelimited,alpha_a vs alpha_b,22,-0.357996573231294
FullcrossTimelimited,alpha_a vs alpha_b,23,-0.5337868731767866
FullcrossTimelimited,alpha_a vs alpha_b,24,-0.30611484500948616
FullcrossTimelimited,alpha_a vs alpha_b,25,-0.34909479023462825
FullcrossTimelimited,alpha_a vs alpha_b,26,-0.2867181671554383
FullcrossTimelimited,alpha_a vs alpha_b,27,-0.31952640687883155
FullcrossTimelimited,alpha_a vs alpha_b,28,-0.5273404506187974
FullcrossTimelimited,alpha_a vs alpha_b,29,-0.3267028353173747
FullcrossTimelimited,alpha_a vs alpha_b,30,-0.2731161431945266
FullcrossTimelimited,alpha_a vs alpha_b,31,-0.35178007248849136
FullcrossTimelimited,alpha_a vs alpha_b,32,-0.2855482626273853
FullcrossTimelimited,alpha_a vs alpha_b,33,-0.3899342315087215
FullcrossTimelimited,alpha_a vs alpha_b,34,-0.32112913252290953
FullcrossTimelimited,alpha_a vs alpha_b,35,-0.32745676761810455
FullcrossTimelimited,alpha_a vs alpha_b,36,-0.25097061138507754
FullcrossTimelimited,alpha_a vs alpha_b,37,-0.2924622913032326
FullcrossTimelimited,alpha_a vs alpha_b,38,-0.43193233088006866
FullcrossTimelimited,alpha_a vs alpha_b,39,-0.35816069558584707
FullcrossTimelimited,alpha_a vs alpha_b,40,-0.3761686551420436
FullcrossTimelimited,alpha_a vs alpha_b,41,-0.3383739514055204
FullcrossTimelimited,alpha_a vs alpha_b,42,-0.39468242476509813
FullcrossTimelimited,alpha_a vs alpha_b,43,-0.36003878830470715
FullcrossTimelimited,alpha_a vs alpha_b,44,-0.4017933102584583
FullcrossTimelimited,alpha_a vs alpha_b,45,-0.28160080340417776
FullcrossTimelimited,alpha_a vs alpha_b,46,-0.35251201330757903
FullcrossTimelimited,alpha_a vs alpha_b,47,-0.36676925292020934
FullcrossTimelimited,alpha_a vs alpha_b,48,-0.3604444207104178
FullcrossTimelimited,alpha_a vs alpha_b,49,-0.5238713906642044
FullcrossTimelimited,alpha_a vs alpha_b,50,-0.3403117120294335
FullcrossTimelimited,alpha_a vs alpha_b,51,-0.4573721158650556
FullcrossTimelimited,alpha_a vs alpha_b,52,-0.28171312802346316
FullcrossTimelimited,alpha_a vs alpha_b,53,-0.3559874869912718
FullcrossTimelimited,alpha_a vs alpha_b,54,-0.36848827005005735
FullcrossTimelimited,alpha_a vs alpha_b,55,-0.47961947506336267
FullcrossTimelimited,alpha_a vs alpha_b,56,-0.3316071791271321
FullcrossTimelimited,alpha_a vs alpha_b,57,-0.43220424085120784
FullcrossTimelimited,alpha_a vs alpha_b,58,-0.42673611023814956
FullcrossTimelimited,alpha_a vs alpha_b,59,-0.34855257617827134
FullcrossTimelimited,alpha_a vs alpha_b,60,-0.33273771441632827
FullcrossTimelimited,alpha_a vs alpha_b,61,-0.27024491611462687
FullcrossTimelimited,alpha_a vs alpha_b,62,-0.33512537742717113
FullcrossTimelimited,alpha_a vs alpha_b,63,-0.39067584833992297
FullcrossTimelimited,alpha_a vs alpha_b,64,-0.41512999953981455
FullcrossTimelimited,alpha_a vs alpha_b,65,-0.33510883881769743
FullcrossTimelimited,beta_a vs beta_b,1,-0.9282989874135106
FullcrossTimelimited,beta_a vs beta_b,2,-0.4738321006708
FullcrossTimelimited,beta_a vs beta_b,3,-0.5253484311558463
FullcrossTimelimited,beta_a vs beta_b,4,-0.4455143582798353
FullcrossTimelimited,beta_a vs beta_b,5,-0.5288536683533985
FullcrossTimelimited,beta_a vs beta_b,6,-0.4742306699546827
FullcrossTimelimited,beta_a vs beta_b,7,-0.8623554402111363
FullcrossTimelimited,beta_a vs beta_b,8,-0.4930552888216043
FullcrossTimelimited,beta_a vs beta_b,9,-0.4838367871535051
FullcrossTimelimited,beta_a vs beta_b,10,-0.9326461733267302
FullcrossTimelimited,beta_a vs beta_b,11,-0.4493907838739957
FullcrossTimelimited,beta_a vs beta_b,12,-0.5042312456129376
FullcrossTimelimited,beta_a vs beta_b,13,-0.4886448958921895
FullcrossTimelimited,beta_a vs beta_b,14,-0.5213629970938296
FullcrossTimelimited,beta_a vs beta_b,15,-0.5031930667572875
FullcrossTimelimited,beta_a vs beta_b,16,-0.4962759387839358
FullcrossTimelimited,beta_a vs beta_b,17,-0.5786015093989982
FullcrossTimelimited,beta_a vs beta_b,18,-0.4608933181258022
FullcrossTimelimited,beta_a vs beta_b,19,-0.7288912215629627
FullcrossTimelimited,beta_a vs beta_b,20,-0.480655301341486
FullcrossTimelimited,beta_a vs beta_b,21,-0.5522075549198496
FullcrossTimelimited,beta_a vs beta_b,22,-0.43518145606388814
FullcrossTimelimited,beta_a vs beta_b,23,-0.7646324455446248
FullcrossTimelimited,beta_a vs beta_b,24,-0.5364384253034732
FullcrossTimelimited,beta_a vs beta_b,25,-0.48168638469447944
FullcrossTimelimited,beta_a vs beta_b,26,-0.5125499774678066
FullcrossTimelimited,beta_a vs beta_b,27,-0.5223695248209586
FullcrossTimelimited,beta_a vs beta_b,28,-0.9558355827792668
FullcrossTimelimited,beta_a vs beta_b,29,-0.4627308794337087
FullcrossTimelimited,beta_a vs beta_b,30,-0.550377056110399
FullcrossTimelimited,beta_a vs beta_b,31,-0.45838014002039196
FullcrossTimelimited,beta_a vs beta_b,32,-0.5291462325515122
FullcrossTimelimited,beta_a vs beta_b,33,-0.45891140184758267
FullcrossTimelimited,beta_a vs beta_b,34,-0.4944512813403283
FullcrossTimelimited,beta_a vs beta_b,35,-0.5237554115457291
FullcrossTimelimited,beta_a vs beta_b,36,-0.5638712937482822
FullcrossTimelimited,beta_a vs beta_b,37,-0.5773324975512756
FullcrossTimelimited,beta_a vs beta_b,38,-0.5474096956965445
FullcrossTimelimited,beta_a vs beta_b,39,-0.5032666737826623
FullcrossTimelimited,beta_a vs beta_b,40,-0.4744805291768533
FullcrossTimelimited,beta_a vs beta_b,41,-0.5073419194496738
FullcrossTimelimited,beta_a vs beta_b,42,-0.4934318081644321
FullcrossTimelimited,beta_a vs beta_b,43,-0.4804962104999292
FullcrossTimelimited,beta_a vs beta_b,44,-0.4966820443779398
FullcrossTimelimited,beta_a vs beta_b,45,-0.5383566525485088
FullcrossTimelimited,beta_a vs beta_b,46,-0.4268633048442886
FullcrossTimelimited,beta_a vs beta_b,47,-0.4763135474015984
FullcrossTimelimited,beta_a vs beta_b,48,-0.4978637457306736
FullcrossTimelimited,beta_a vs beta_b,49,-0.9261154238729978
FullcrossTimelimited,beta_a vs beta_b,50,-0.4891223054698929
FullcrossTimelimited,beta_a vs beta_b,51,-0.5607870807512425
FullcrossTimelimited,beta_a vs beta_b,52,-0.5331858500408666
FullcrossTimelimited,beta_a vs beta_b,53,-0.48675645413191904
FullcrossTimelimited,beta_a vs beta_b,54,-0.5199289564840651
FullcrossTimelimited,beta_a vs beta_b,55,-0.6169664142015424
FullcrossTimelimited,beta_a vs beta_b,56,-0.5013905851392599
FullcrossTimelimited,beta_a vs beta_b,57,-0.5465721319030595
FullcrossTimelimited,beta_a vs beta_b,58,-0.5976425734358378
FullcrossTimelimited,beta_a vs beta_b,59,-0.49180982991226113
FullcrossTimelimited,beta_a vs beta_b,60,-0.517176579387516
FullcrossTimelimited,beta_a vs beta_b,61,-0.5841906434377389
FullcrossTimelimited,beta_a vs beta_b,62,-0.5108947154792606
FullcrossTimelimited,beta_a vs beta_b,63,-0.4577195510327146
FullcrossTimelimited,beta_a vs beta_b,64,-0.7698136583311456
FullcrossTimelimited,beta_a vs beta_b,65,-0.5327525711005606
FullcrossTimelimited,gamma_a vs gamma_b,1,-0.7174094304995166
FullcrossTimelimited,gamma_a vs gamma_b,2,-0.7970132497425167
FullcrossTimelimited,gamma_a vs gamma_b,3,-0.7905590947219399
FullcrossTimelimited,gamma_a vs gamma_b,4,-0.8650789144755954
FullcrossTimelimited,gamma_a vs gamma_b,5,-0.7927892327932028
FullcrossTimelimited,gamma_a vs gamma_b,6,-0.8085607751701689
FullcrossTimelimited,gamma_a vs gamma_b,7,-0.7610495099720902
FullcrossTimelimited,gamma_a vs gamma_b,8,-0.8004461580489936
FullcrossTimelimited,gamma_a vs gamma_b,9,-0.8201655291197654
FullcrossTimelimited,gamma_a vs gamma_b,10,-0.6684592658003553
FullcrossTimelimited,gamma_a vs gamma_b,11,-0.8665108820061389
FullcrossTimelimited,gamma_a vs gamma_b,12,-0.8132301168129911
FullcrossTimelimited,gamma_a vs gamma_b,13,-0.8127699653939593
FullcrossTimelimited,gamma_a vs gamma_b,14,-0.8075404167866135
FullcrossTimelimited,gamma_a vs gamma_b,15,-0.8010355017503612
FullcrossTimelimited,gamma_a vs gamma_b,16,-0.8022217237133791
FullcrossTimelimited,gamma_a vs gamma_b,17,-0.8048935105784052
FullcrossTimelimited,gamma_a vs gamma_b,18,-0.8495540012433556
FullcrossTimelimited,gamma_a vs gamma_b,19,-0.7846850732282772
FullcrossTimelimited,gamma_a vs gamma_b,20,-0.8137109951191777
FullcrossTimelimited,gamma_a vs gamma_b,21,-0.8117642489993189
FullcrossTimelimited,gamma_a vs gamma_b,22,-0.8577213849316452
FullcrossTimelimited,gamma_a vs gamma_b,23,-0.7766712807414983
FullcrossTimelimited,gamma_a vs gamma_b,24,-0.836705244256107
FullcrossTimelimited,gamma_a vs gamma_b,25,-0.8101810867815682
FullcrossTimelimited,gamma_a vs gamma_b,26,-0.8470168405144624
FullcrossTimelimited,gamma_a vs gamma_b,27,-0.80704086910159
FullcrossTimelimited,gamma_a vs gamma_b,28,-0.6291302615324403
FullcrossTimelimited,gamma_a vs gamma_b,29,-0.8072976485951926
FullcrossTimelimited,gamma_a vs gamma_b,30,-0.8286465666085563
FullcrossTimelimited,gamma_a vs gamma_b,31,-0.8090847422768858
FullcrossTimelimited,gamma_a vs gamma_b,32,-0.8134130286188507
FullcrossTimelimited,gamma_a vs gamma_b,33,-0.859688105196541
FullcrossTimelimited,gamma_a vs gamma_b,34,-0.8110843681937923
FullcrossTimelimited,gamma_a vs gamma_b,35,-0.7899549365195073
FullcrossTimelimited,gamma_a vs gamma_b,36,-0.7974967738188926
FullcrossTimelimited,gamma_a vs gamma_b,37,-0.8165530394898958
FullcrossTimelimited,gamma_a vs gamma_b,38,-0.7992602568131174
FullcrossTimelimited,gamma_a vs gamma_b,39,-0.812213436888989
FullcrossTimelimited,gamma_a vs gamma_b,40,-0.8164388616164759
FullcrossTimelimited,gamma_a vs gamma_b,41,-0.8247427817276018
FullcrossTimelimited,gamma_a vs gamma_b,42,-0.8428399814018087
FullcrossTimelimited,gamma_a vs gamma_b,43,-0.8256617485757735
FullcrossTimelimited,gamma_a vs gamma_b,44,-0.8361787519848772
FullcrossTimelimited,gamma_a vs gamma_b,45,-0.8085106337040967
FullcrossTimelimited,gamma_a vs gamma_b,46,-0.8246071286945307
FullcrossTimelimited,gamma_a vs gamma_b,47,-0.8210867598767464
FullcrossTimelimited,gamma_a vs gamma_b,48,-0.8170146177953259
FullcrossTimelimited,gamma_a vs gamma_b,49,-0.7429836219270298
FullcrossTimelimited,gamma_a vs gamma_b,50,-0.8126759085947075
FullcrossTimelimited,gamma_a vs gamma_b,51,-0.7882526203038039
FullcrossTimelimited,gamma_a vs gamma_b,52,-0.8111334375839289
FullcrossTimelimited,gamma_a vs gamma_b,53,-0.7906720515240785
FullcrossTimelimited,gamma_a vs gamma_b,54,-0.8120706979905609
FullcrossTimelimited,gamma_a vs gamma_b,55,-0.7940579106993256
FullcrossTimelimited,gamma_a vs gamma_b,56,-0.7907615197476814
FullcrossTimelimited,gamma_a vs gamma_b,57,-0.8004267549212768
FullcrossTimelimited,gamma_a vs gamma_b,58,-0.7888339469600467
FullcrossTimelimited,gamma_a vs gamma_b,59,-0.7964227220845627
