task,participant_id,acc_ppc_mean,acc_ppc_median,acc_ppc_lo10,acc_ppc_hi90
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_15h27.22.142.csv,0.5020208333333334,0.5,0.4,0.6
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_15h50.44.307.csv,0.5748541666666667,0.575,0.475,0.675
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_16h07.06.683.csv,0.5232708333333334,0.525,0.425,0.625
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_10h13.21.731.csv,0.6024791666666667,0.6,0.5,0.7
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_10h13.27.260.csv,0.5169166666666667,0.525,0.425,0.625
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_10h46.04.96.csv,0.601375,0.6,0.5,0.7
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_13h54.35.383.csv,0.5092291666666666,0.5,0.4,0.6
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h36.35.682.csv,0.49502083333333335,0.5,0.4,0.6
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h36.55.458.csv,0.7302916666666667,0.7375,0.625,0.825
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h37.00.325.csv,0.5189375,0.525,0.425,0.625
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h37.04.211.csv,0.5431666666666667,0.55,0.45,0.65
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_14h52.03.786.csv,0.5876041666666667,0.575,0.5,0.6775000000000035
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_15h10.02.548.csv,0.5269583333333333,0.525,0.425,0.625
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_15h10.12.614.csv,0.6262916666666667,0.625,0.525,0.725
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_16h15.23.649.csv,0.5227708333333333,0.525,0.425,0.625
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_16h15.51.955.csv,0.6373333333333333,0.65,0.525,0.725
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-01_17h32.04.772.csv,0.5822083333333333,0.575,0.475,0.675
FulltickNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-12-03_16h10.01.36.csv,0.6486458333333334,0.65,0.55,0.75
