task,parameter,mean,median,sd,q025,q10,q90,q975
PartialcrossNoTimelimited,alpha_pos_pop,0.8376173959339834,0.844864473175966,0.07385171809385495,0.675126389699863,0.737554601899899,0.925881624753179,0.9530086001046618
PartialcrossNoTimelimited,mu_alpha_neg_logit,0.9537824314699568,0.9134712183231646,0.37015544302066317,0.3027449077867021,0.49614947698572825,1.418208969100981,1.7515405573464509
PartialcrossNoTimelimited,mu_alpha_pos_logit,1.7491221854387609,1.694877179748085,0.5885149990193905,0.7314655553693938,1.0332970873177958,2.525083427814287,3.009660297523724
PartialcrossNoTimelimited,mu_beta_slope,-0.33997802682129924,-0.3414519271555963,0.23423646572930007,-0.8035922728933453,-0.6406814537023907,-0.034882792788327406,0.12450634346975097
PartialcrossNoTimelimited,mu_bias,6.573594542137238e-4,-2.1403973596445666e-4,0.03897543822191364,-0.07171037422247938,-0.04890229290583123,0.04945635860572909,0.07769605626496896
PartialcrossNoTimelimited,mu_gamma,-3.9054236661170645e-4,-3.226736105849536e-4,0.09549375342889649,-0.18738686162003526,-0.12281204004144848,0.11900005968959584,0.18482231444394895
PartialcrossNoTimelimited,mu_log_beta0,1.0313670652802631,1.033714351218284,0.24398396716562143,0.5261084806204215,0.7123983061071187,1.3414431936971392,1.4813085801491512
PartialcrossNoTimelimited,sigma_alpha_neg,0.60597816298322,0.5855991480467198,0.36999212152171057,0.03351393168277418,0.13166786277173265,1.1000509938609233,1.4368022902964206
PartialcrossNoTimelimited,sigma_alpha_pos,0.5375679569617804,0.41741217014277326,0.46197976483499126,0.015608255901415404,0.06876306079714807,1.1588269469551609,1.7721337085704643
PartialcrossNoTimelimited,sigma_beta_slope,0.34230767242386345,0.32299260210340297,0.2263035280824026,0.016187317843833985,0.06103645430081068,0.6613706583961313,0.8248332352802984
PartialcrossNoTimelimited,sigma_bias,0.15354324159535165,0.15422867645772423,0.04995750824761834,0.04621698353741978,0.09275442217716173,0.21527445877893528,0.2520116239174331
PartialcrossNoTimelimited,sigma_gamma,0.5608420704345237,0.5539140409697596,0.08727342358650352,0.4041632361008043,0.4563189607844879,0.6774746879184549,0.7436139038772199
PartialcrossNoTimelimited,sigma_log_beta0,1.2485546396387284,1.2372927052534792,0.19258544551680085,0.8918977938111781,1.0122563772483233,1.508725401380369,1.6502283602300563
PartialcrossTimelimited,alpha_neg_pop,0.6613375581164113,0.6685483556652149,0.10804112706450177,0.445718617588075,0.5186600410987627,0.7995906764352266,0.8501586770911199
PartialcrossTimelimited,alpha_pos_pop,0.5488706420820615,0.5382914969800963,0.14872561588306643,0.2912414728231911,0.35932257412039476,0.7555354376121381,0.8522119296730697
PartialcrossTimelimited,mu_alpha_neg_logit,0.7109344434254717,0.7016268081181456,0.5158484275488532,-0.2179846309134493,0.07467485485434143,1.3837382605926276,1.735846506101708
PartialcrossTimelimited,mu_alpha_pos_logit,0.22724023156532233,0.1534664878951994,0.6790623917655149,-0.8893622198266101,-0.5783055743640986,1.1283629398711907,1.7520564818644697
PartialcrossTimelimited,mu_beta_slope,0.13815385673053318,0.14555629048017862,0.2607193306795995,-0.3698527758896427,-0.20501676626667523,0.4746837773184559,0.642649514554611
PartialcrossTimelimited,mu_bias,0.12890032098985063,0.12612402883695678,0.043900997940890744,0.049888208568894636,0.07489624829605379,0.1847845665693248,0.21434353800623085
PartialcrossTimelimited,mu_gamma,0.2953728845900979,0.29954483375879576,0.09580668080227284,0.10519592087493272,0.16927289292468334,0.4139985687258979,0.4768549680226465
PartialcrossTimelimited,mu_log_beta0,0.8385687405262034,0.8769027606369393,0.3468748240343283,0.10849844402622265,0.356575344138835,1.2506377212575894,1.4257210875835806
PartialcrossTimelimited,sigma_alpha_neg,1.0979966154484655,1.1749780101892124,0.6142616240900216,0.05696693748799925,0.1891827111877148,1.85522132146942,2.160873046750689
PartialcrossTimelimited,sigma_alpha_pos,1.4942745143788265,1.5555513071039058,0.6039061453903449,0.17502007746023635,0.5432848081360292,2.2075105984118126,2.5529394323798944
PartialcrossTimelimited,sigma_beta_slope,0.26009564014867925,0.218143689944467,0.1903796700867302,0.01638081388571853,0.052132958997642385,0.5398331538109755,0.6975718661122903
PartialcrossTimelimited,sigma_bias,0.08315782726042897,0.07507839920552573,0.05782695685489895,0.003878095749388636,0.01511994022917877,0.1661615575266082,0.21412688573731356
PartialcrossTimelimited,sigma_gamma,0.5939678913466429,0.5872589151229453,0.08225636918276834,0.45321792139201733,0.4980978234278939,0.7041939742940859,0.7712777190824052
PartialcrossTimelimited,sigma_log_beta0,0.7907726881640468,0.7689208874926083,0.2567225738694789,0.2978134523676962,0.47057984822230964,1.1167225326145513,1.35023197512509
PartialtickNoTimelimited,alpha_neg_pop,0.6462302011612098,0.6454591412361236,0.05644849628686193,0.5413183449187441,0.5767761893546562,0.7165667081346736,0.7659236411799308
PartialtickNoTimelimited,alpha_pos_pop,0.6216385086620128,0.6189873987136798,0.0930217436018311,0.44054197520910554,0.5029836816095594,0.7447928063315108,0.8004525136537342
PartialtickNoTimelimited,mu_alpha_neg_logit,0.6123220230770924,0.5991383418065708,0.255069909549622,0.16565113855021513,0.3095531624111746,0.9274945637206573,1.1854351012872506
PartialtickNoTimelimited,mu_alpha_pos_logit,0.5182161742724314,0.485252466264926,0.41645462403159944,-0.23896283830471662,0.011934868680340808,1.071030427049281,1.3891249864809423
PartialtickNoTimelimited,mu_beta_slope,-0.010915300971202479,-0.008524259145194928,0.20091222508937515,-0.4178999403723511,-0.26797735490949987,0.23484198965059658,0.36902567560452354
PartialtickNoTimelimited,mu_bias,0.027793005520915792,0.026998305388066284,0.04148590310514926,-0.05021859360365787,-0.024318396140783547,0.08168169153876584,0.1106518150303049
PartialtickNoTimelimited,mu_gamma,-0.11623917408532745,-0.11658000044754249,0.10320393709434875,-0.3067209809623276,-0.2554504252584661,0.015080772426179227,0.08417074812301542
PartialtickNoTimelimited,mu_log_beta0,1.6900518748561526,1.6995624507397937,0.1681458443311682,1.3522299868611525,1.4637528356635718,1.9001452493884745,2.0067069592059354
PartialtickNoTimelimited,sigma_alpha_neg,0.46605545402160736,0.4163166038450985,0.33564862858007016,0.016272000340370327,0.0660940505776193,0.9271041381904139,1.2022678179168993
PartialtickNoTimelimited,sigma_alpha_pos,1.589200308569857,1.5602165003847688,0.37376110423254605,0.9369167653898227,1.1435666960903967,2.08284954987711,2.390463263615479
PartialtickNoTimelimited,sigma_beta_slope,0.3500204753116972,0.33096609116420395,0.21813267638489464,0.02602297931591441,0.08054523782236646,0.6556606437957382,0.8210659212172827
PartialtickNoTimelimited,sigma_bias,0.10493236508811471,0.1011116773380455,0.0627444726840363,0.006310935546253811,0.023789543476208607,0.1887519296629074,0.22790090840113134
PartialtickNoTimelimited,sigma_gamma,0.6224061828024363,0.6187179523547224,0.10183918502402516,0.4271353344525185,0.4990405007848048,0.756692984056122,0.8352064238477186
PartialtickNoTimelimited,sigma_log_beta0,0.5674545821200663,0.5772171349930604,0.16311412504056905,0.15120251998771977,0.3769267701575937,0.7588979734131157,0.8642446110506229
PartialtickNoTimelimited4060,alpha_neg_pop,0.7571049915105618,0.771419372915199,0.1169515860787679,0.4922673724631545,0.6020961472890504,0.899441157289814,0.9413453721046858
PartialtickNoTimelimited4060,alpha_pos_pop,0.6195854060621255,0.6296809749306329,0.1514493189186711,0.29018468890011556,0.4153925341428949,0.8103514550310619,0.8862259908363664
PartialtickNoTimelimited4060,mu_alpha_neg_logit,1.2544164163326277,1.216343170375056,0.7010277339847711,-0.030932981671472164,0.41420700733273164,2.191032407847363,2.775644042921368
PartialtickNoTimelimited4060,mu_alpha_pos_logit,0.544576063067468,0.5308484381017453,0.7178029368536212,-0.8944910145557678,-0.3417182778378804,1.4522954572875855,2.0527613926331068
PartialtickNoTimelimited4060,mu_beta_slope,0.41294111499087055,0.40762562996343743,0.19687275757026398,0.03647417942108462,0.1643573104933675,0.670891662534279,0.8121768536394876
PartialtickNoTimelimited4060,mu_bias,0.12532390312672692,0.1207479522845815,0.0835078079214099,-0.032748755411980544,0.023263662494633772,0.2371752441924079,0.2995972002190216
PartialtickNoTimelimited4060,mu_gamma,0.15495247342627427,0.15807691204616048,0.13454518049430292,-0.11288482954343101,-0.013152726858776515,0.3164270137036167,0.416517719579698
PartialtickNoTimelimited4060,mu_log_beta0,0.751285404759636,0.7739370909185388,0.23874921121644246,0.22572353682985696,0.43388360184655833,1.0369221201100776,1.155755084043871
PartialtickNoTimelimited4060,sigma_alpha_neg,0.5270657031871673,0.452972379580897,0.40017374629419766,0.01757584530224788,0.07896656896749131,1.0906574481018076,1.4659668401710466
PartialtickNoTimelimited4060,sigma_alpha_pos,0.5394740324259163,0.4510063032695345,0.4166672968865838,0.013034490133134449,0.08153211251048487,1.108931673132823,1.5722300933153726
PartialtickNoTimelimited4060,sigma_beta_slope,0.18906790049925676,0.15868029256248584,0.14096523703918168,0.005875840608372149,0.03105116563326277,0.4035280972795355,0.49912068155541406
PartialtickNoTimelimited4060,sigma_bias,0.11881592934344506,0.1132464244522864,0.07508418927565054,0.005446219769821497,0.02055035774077198,0.22145932576274693,0.2739897077979945
PartialtickNoTimelimited4060,sigma_gamma,0.7544418483948087,0.7445365286706004,0.11394775749047385,0.5693721434573552,0.6164256019167337,0.9041431692857442,1.015395648714926
PartialtickNoTimelimited4060,sigma_log_beta0,0.7000536033924583,0.6875925310286043,0.15248967332741045,0.4318237757360483,0.5162189287915342,0.8938990666404991,1.0252740397142195
