task,participant_id,acc_ppc_mean,acc_ppc_median,acc_ppc_lo10,acc_ppc_hi90
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_11h42.55.429.csv,0.601625,0.6,0.5,0.7
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_11h44.40.392.csv,0.514875,0.525,0.4,0.6
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_11h48.02.587.csv,0.5551041666666666,0.55,0.45,0.65
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_12h23.53.752.csv,0.5707291666666666,0.575,0.475,0.675
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_12h24.02.619.csv,0.5654375,0.575,0.475,0.675
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_12h24.58.522.csv,0.4998958333333333,0.5,0.4,0.6
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h14.38.296.csv,0.8085208333333334,0.825,0.725,0.9
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h14.43.724.csv,0.5395,0.55,0.45,0.65
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h16.18.617.csv,0.6235625,0.625,0.525,0.725
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h51.56.59.csv,0.5221458333333333,0.525,0.425,0.625
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h56.52.788.csv,0.6199583333333333,0.625,0.5,0.725
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_15h23.23.995.csv,0.6206458333333333,0.625,0.5,0.725
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_15h23.31.848.csv,0.5473958333333333,0.55,0.45,0.65
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_15h23.39.464.csv,0.546375,0.55,0.45,0.65
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_16h35.04.300.csv,0.5343958333333333,0.525,0.425,0.625
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_16h39.13.99.csv,0.7433958333333334,0.75,0.65,0.85
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h24.57.802.csv,0.5228541666666666,0.525,0.425,0.625
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h25.01.906.csv,0.5125416666666667,0.5,0.425,0.625
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h25.48.286.csv,0.6488958333333333,0.65,0.55,0.75
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h26.14.343.csv,0.6505625,0.65,0.55,0.75
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h27.00.499.csv,0.5839375,0.575,0.475,0.675
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h14.34.965.csv,0.5085833333333334,0.5,0.425,0.6
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h27.58.986.csv,0.5379791666666667,0.55,0.425,0.625
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h54.32.569.csv,0.4977916666666667,0.5,0.4,0.6
FullcrossNoTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h54.59.786.csv,0.5456458333333334,0.55,0.45,0.65
