task,participant_id,acc_ppc_mean,acc_ppc_median,acc_ppc_lo10,acc_ppc_hi90
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-24_17h18.18.20.csv,0.5631041666666666,0.575,0.45,0.675
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_09h46.35.938.csv,0.7215416666666666,0.725,0.625,0.8
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_10h17.44.482.csv,0.6035208333333333,0.6,0.5,0.7
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_10h18.33.907.csv,0.5305833333333333,0.525,0.425,0.625
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_10h34.27.259.csv,0.5269583333333333,0.525,0.425,0.625
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_11h42.55.429.csv,0.6155208333333333,0.625,0.525,0.725
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_11h44.40.392.csv,0.5775833333333333,0.575,0.475,0.675
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_11h48.02.587.csv,0.6540416666666666,0.65,0.55,0.75
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_12h23.53.752.csv,0.5122291666666666,0.5,0.425,0.6
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_12h24.02.619.csv,0.5835833333333333,0.575,0.475,0.675
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_12h24.58.522.csv,0.5081041666666667,0.5,0.4,0.6
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h14.38.296.csv,0.8018333333333333,0.8,0.725,0.875
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h14.43.724.csv,0.5322916666666667,0.525,0.425,0.625
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h16.18.617.csv,0.5442916666666666,0.55,0.45,0.65
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h51.56.59.csv,0.5300625,0.525,0.425,0.625
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h56.52.788.csv,0.5030833333333333,0.5,0.4,0.6
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_15h23.23.995.csv,0.6605208333333333,0.675,0.55,0.75
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_15h23.31.848.csv,0.5045833333333334,0.5,0.4,0.6
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_15h23.39.464.csv,0.5060625,0.5,0.4,0.6
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_16h35.04.300.csv,0.49866666666666665,0.5,0.4,0.6
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-26_16h39.13.99.csv,0.5805,0.575,0.475,0.675
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h24.57.802.csv,0.5724583333333333,0.575,0.475,0.675
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h25.01.906.csv,0.5069166666666667,0.5,0.4,0.6
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h25.48.286.csv,0.5472291666666667,0.55,0.45,0.65
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h26.14.343.csv,0.5688958333333334,0.575,0.475,0.675
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h27.00.499.csv,0.5885,0.6,0.475,0.675
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h14.34.965.csv,0.5480833333333334,0.55,0.45,0.65
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h27.58.986.csv,0.6787291666666667,0.675,0.575,0.775
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h54.32.569.csv,0.49585416666666665,0.5,0.4,0.6
FullcrossTimelimited,Mega_project_PARTICIPANT_SESSION_2025-11-28_13h54.59.786.csv,0.5455,0.55,0.45,0.65
