model_id,model_label,task,feedback,time_pressure,frame,parameter,mean,median,q025,q975
modelB_decay,Model B: Decay-RL + Stickiness,FulltickNoTimelimited,Full,No TP,Accept,eta_decay,0.17235309619068234,0.13844518834033115,0.02044230110417535,0.4804246659210653
modelB_decay,Model B: Decay-RL + Stickiness,FulltickNoTimelimited,Full,No TP,Accept,gamma,-0.06357525786390844,-0.0639738418386336,-0.15219704909125173,0.026786453801681095
modelB_decay,Model B: Decay-RL + Stickiness,FulltickTimelimited,Full,TP,Accept,alpha,0.7702512001804313,0.7819386877511201,0.5519082438390235,0.914231018596496
modelB_decay,Model B: Decay-RL + Stickiness,FulltickTimelimited,Full,TP,Accept,beta,3.3708836229124164,3.041832144703634,2.1796541194559036,6.504096697357314
modelB_decay,Model B: Decay-RL + Stickiness,FulltickTimelimited,Full,TP,Accept,eta_decay,0.18884029214604237,0.15479431345635347,0.022826423487113553,0.5193182440305317
modelB_decay,Model B: Decay-RL + Stickiness,FulltickTimelimited,Full,TP,Accept,gamma,0.10774945259770674,0.1081650393660962,0.0141056048921298,0.20119218200314956
modelB_decay,Model B: Decay-RL + Stickiness,PartialcrossNoTimelimited,Partial,No TP,Reject,alpha,0.680830899076788,0.6807806075456222,0.5198508557853548,0.840634674121976
modelB_decay,Model B: Decay-RL + Stickiness,PartialcrossNoTimelimited,Partial,No TP,Reject,beta,7.66372843520903,7.3054070279459165,4.589424417046618,12.487485885007347
modelB_decay,Model B: Decay-RL + Stickiness,PartialcrossNoTimelimited,Partial,No TP,Reject,eta_decay,0.13511694849998956,0.12139845928366458,0.016596186269640475,0.32789039778321266
modelB_decay,Model B: Decay-RL + Stickiness,PartialcrossNoTimelimited,Partial,No TP,Reject,gamma,0.11486961731148305,0.11410730714181144,-0.00786693829916888,0.2435600665243158
modelB_decay,Model B: Decay-RL + Stickiness,PartialcrossTimelimited,Partial,TP,Reject,alpha,0.6019894501352838,0.6147128820249499,0.30764193592231626,0.8651524593019739
modelB_decay,Model B: Decay-RL + Stickiness,PartialcrossTimelimited,Partial,TP,Reject,beta,5.536264579246622,5.132107782786722,3.2149172171092197,10.19960542082791
modelB_decay,Model B: Decay-RL + Stickiness,PartialcrossTimelimited,Partial,TP,Reject,eta_decay,0.2104636391850253,0.20490570190277974,0.0944811334962167,0.3555968345712932
modelB_decay,Model B: Decay-RL + Stickiness,PartialcrossTimelimited,Partial,TP,Reject,gamma,0.4006012639454543,0.40098413668784555,0.2871129124601416,0.5121930047588906
modelB_decay,Model B: Decay-RL + Stickiness,PartialtickNoTimelimited,Partial,No TP,Accept,alpha,0.5806617881202623,0.5861833256604551,0.41982038305499686,0.721007199174454
modelB_decay,Model B: Decay-RL + Stickiness,PartialtickNoTimelimited,Partial,No TP,Accept,beta,9.83500903899594,9.625346224749837,6.563973430592016,14.361762808744965
modelB_decay,Model B: Decay-RL + Stickiness,PartialtickNoTimelimited,Partial,No TP,Accept,eta_decay,0.15172369573727418,0.1495099723120193,0.03315949682295142,0.2951631917132685
modelB_decay,Model B: Decay-RL + Stickiness,PartialtickNoTimelimited,Partial,No TP,Accept,gamma,-0.013184185999328272,-0.013029384939127238,-0.14623969102121057,0.12244129464407652
modelB_decay,Model B: Decay-RL + Stickiness,PartialtickTimelimited,Partial,TP,Accept,alpha,0.6908205872063363,0.6913233102716807,0.5604710807987228,0.817427801506815
modelB_decay,Model B: Decay-RL + Stickiness,PartialtickTimelimited,Partial,TP,Accept,beta,8.18807799992031,8.051895866132199,6.184380578860703,10.981651909039762
modelB_decay,Model B: Decay-RL + Stickiness,PartialtickTimelimited,Partial,TP,Accept,eta_decay,0.072519527528182,0.06825266074205896,0.024374658915005596,0.1478057990842723
modelB_decay,Model B: Decay-RL + Stickiness,PartialtickTimelimited,Partial,TP,Accept,gamma,0.06021131944693063,0.059790556693746146,-0.07407510759043004,0.19232655239222818
modelC_hybrid,Model C: Hybrid RL + BMT features,FullcrossNoTimelimited,Full,No TP,Reject,alpha,0.83833895726156,0.8415727797837902,0.7149875363824355,0.9385536391758492
modelC_hybrid,Model C: Hybrid RL + BMT features,FullcrossNoTimelimited,Full,No TP,Reject,beta_Q,2.037814899816413,2.0236490592716567,1.6232670423248996,2.5260857514480657
modelC_hybrid,Model C: Hybrid RL + BMT features,FullcrossNoTimelimited,Full,No TP,Reject,beta_mu,-0.10166486136822009,-0.09393161161045482,-1.3658161790503758,1.1761733464316193
modelC_hybrid,Model C: Hybrid RL + BMT features,FullcrossNoTimelimited,Full,No TP,Reject,beta_sigma,0.04452831467969462,0.04857632779723092,-1.9600527696373906,2.0664406171695733
modelC_hybrid,Model C: Hybrid RL + BMT features,FullcrossNoTimelimited,Full,No TP,Reject,gamma,-0.049923016509560825,-0.04915576041965397,-0.1365678173817654,0.03641681194458038
modelC_hybrid,Model C: Hybrid RL + BMT features,FullcrossTimelimited,Full,TP,Reject,alpha,0.7255240404783487,0.7358939406923912,0.472467815460917,0.9015289046219447
modelC_hybrid,Model C: Hybrid RL + BMT features,FullcrossTimelimited,Full,TP,Reject,beta_Q,1.8170265161427672,1.759094704229481,1.2612182023628813,2.7725542950763953
modelC_hybrid,Model C: Hybrid RL + BMT features,FullcrossTimelimited,Full,TP,Reject,beta_mu,0.187985329534545,0.1855621768332008,-1.026339222103607,1.4200928584483623
modelC_hybrid,Model C: Hybrid RL + BMT features,FullcrossTimelimited,Full,TP,Reject,beta_sigma,0.05521225067080502,0.03451224855113387,-1.9179789971506211,2.1017395036207036
modelC_hybrid,Model C: Hybrid RL + BMT features,FullcrossTimelimited,Full,TP,Reject,gamma,0.08179889812981339,0.0819013276568718,-0.0059754675182655485,0.1704695754826918
modelC_hybrid,Model C: Hybrid RL + BMT features,FulltickNoTimelimited,Full,No TP,Accept,alpha,0.6635626266189829,0.6797278549099268,0.3906229958867957,0.8901826232315629
modelC_hybrid,Model C: Hybrid RL + BMT features,FulltickNoTimelimited,Full,No TP,Accept,beta_Q,2.579509669613182,2.4023065851165555,1.6270061496951216,4.4004846988501
