model_id,model_label,parameter,task_a,task_b,diff_mean,diff_hdi95_lo,diff_hdi95_hi,hdi95_crosses_zero,hdi95_direction,posterior_tail_p
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,alpha_neg,FulltickNoTimelimited,FulltickTimelimited,0.022311503891843526,-0.21073749507773662,0.24251422343780954,TRUE,Crosses 0,0.8465
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,alpha_neg,FulltickNoTimelimited,PartialcrossNoTimelimited,0.06201427661004913,-0.16206843366295193,0.27307504745063843,TRUE,Crosses 0,0.5855
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,alpha_neg,FulltickNoTimelimited,PartialcrossTimelimited,0.1548690153674205,-0.09720901074490394,0.3895163855255884,TRUE,Crosses 0,0.2185
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,alpha_neg,FulltickNoTimelimited,PartialtickNoTimelimited,0.11742133885477604,-0.094237880536689,0.31469455604892255,TRUE,Crosses 0,0.2835
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,alpha_neg,FulltickNoTimelimited,PartialtickTimelimited,0.05451703257819849,-0.15735228564787154,0.2613262294218192,TRUE,Crosses 0,0.6265
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,alpha_neg,FulltickTimelimited,PartialcrossNoTimelimited,0.0397027727182056,-0.14050699427666993,0.2221029656011365,TRUE,Crosses 0,0.666
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,alpha_neg,FulltickTimelimited,PartialcrossTimelimited,0.13255751147557698,-0.0872010265578382,0.339441130332421,TRUE,Crosses 0,0.2175
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,alpha_neg,FulltickTimelimited,PartialtickNoTimelimited,0.09510983496293252,-0.06978211088422562,0.2612890777696529,TRUE,Crosses 0,0.256
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,alpha_neg,FulltickTimelimited,PartialtickTimelimited,0.03220552868635496,-0.13685081191580573,0.20357733738381217,TRUE,Crosses 0,0.7265
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,alpha_neg,PartialcrossNoTimelimited,PartialcrossTimelimited,0.09285473875737138,-0.11557899486244382,0.2840251980993116,TRUE,Crosses 0,0.3605
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,alpha_neg,PartialcrossNoTimelimited,PartialtickNoTimelimited,0.05540706224472692,-0.10130597037953878,0.2118513642214528,TRUE,Crosses 0,0.47
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,alpha_neg,PartialcrossNoTimelimited,PartialtickTimelimited,-0.007497244031850639,-0.1651862632727924,0.1538927889015969,TRUE,Crosses 0,0.918
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,alpha_neg,PartialcrossTimelimited,PartialtickNoTimelimited,-0.03744767651264447,-0.22393934736575782,0.16685738704234293,TRUE,Crosses 0,0.664
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,alpha_neg,PartialcrossTimelimited,PartialtickTimelimited,-0.10035198278922203,-0.2879175695717992,0.10200189054412079,TRUE,Crosses 0,0.324
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,alpha_neg,PartialtickNoTimelimited,PartialtickTimelimited,-0.06290430627657756,-0.20751253220967827,0.08194298894900176,TRUE,Crosses 0,0.3995
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,beta,FullcrossNoTimelimited,FullcrossTimelimited,-0.7426516098062235,-11.234308752155233,7.320611420248688,TRUE,Crosses 0,0.945
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,beta,FullcrossNoTimelimited,FulltickNoTimelimited,0.8534106997552234,-5.027350746639753,8.179001510271863,TRUE,Crosses 0,0.7585
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,beta,FullcrossNoTimelimited,FulltickTimelimited,-0.7631059517769306,-8.77204486943975,6.938891655375671,TRUE,Crosses 0,0.742
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,beta,FullcrossNoTimelimited,PartialcrossNoTimelimited,-3.0508488779689555,-11.438702581909178,4.946605991901085,TRUE,Crosses 0,0.2435
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,beta,FullcrossNoTimelimited,PartialcrossTimelimited,-4.612956057094987,-21.813967378966677,4.699675707039228,TRUE,Crosses 0,0.2485
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,beta,FullcrossNoTimelimited,PartialtickNoTimelimited,-3.595860983835596,-8.18234533871439,3.8704826767559943,TRUE,Crosses 0,0.145
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,beta,FullcrossNoTimelimited,PartialtickTimelimited,-3.9234128038357596,-9.287931298788441,3.4445081017329033,TRUE,Crosses 0,0.143
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,beta,FullcrossTimelimited,FulltickNoTimelimited,1.596062309561447,-4.6988789627254475,11.426546340547912,TRUE,Crosses 0,0.73
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,beta,FullcrossTimelimited,FulltickTimelimited,-0.0204543419707071,-8.972669542576943,10.488323946563717,TRUE,Crosses 0,0.8555
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,beta,FullcrossTimelimited,PartialcrossNoTimelimited,-2.308197268162732,-11.08887867922446,8.126798308341716,TRUE,Crosses 0,0.39
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,beta,FullcrossTimelimited,PartialcrossTimelimited,-3.8703044472887638,-21.59438586558724,8.20035651307747,TRUE,Crosses 0,0.403
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,beta,FullcrossTimelimited,PartialtickNoTimelimited,-2.8532093740293725,-8.047216046612364,7.3073249510641825,TRUE,Crosses 0,0.2685
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,beta,FullcrossTimelimited,PartialtickTimelimited,-3.1807611940295364,-9.468884735222819,7.152708165042234,TRUE,Crosses 0,0.253
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,beta,FulltickNoTimelimited,FulltickTimelimited,-1.616516651532154,-9.528024938738323,3.9238668445888303,TRUE,Crosses 0,0.4915
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,beta,FulltickNoTimelimited,PartialcrossNoTimelimited,-3.904259577724179,-11.821001488666829,2.029246853656327,TRUE,Crosses 0,0.1085
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,beta,FulltickNoTimelimited,PartialcrossTimelimited,-5.466366756850211,-22.748979620570495,2.0917531825227536,TRUE,Crosses 0,0.142
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,beta,FulltickNoTimelimited,PartialtickNoTimelimited,-4.449271683590819,-8.430413429525137,0.63861202218888,TRUE,Crosses 0,0.066
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,beta,FulltickNoTimelimited,PartialtickTimelimited,-4.776823503590983,-9.501376650882163,0.5941984252656936,TRUE,Crosses 0,0.0625
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,beta,FulltickTimelimited,PartialcrossNoTimelimited,-2.287742926192025,-10.563288699695844,5.777613884343963,TRUE,Crosses 0,0.4105
