scope,compare_model,benchmark_model,task,n_obs,delta_top1,delta_elpd_loo,delta_elpd_waic
task,modelA_asym_lapse,old_original_benchmark,PartialcrossTimelimited,2240,0.04866071428571428,49.4518944306501,49.55553585871439
task,modelA_asym_lapse,old_original_benchmark,PartialtickNoTimelimited,2240,0.06964285714285723,105.88358464621365,106.38539106211601
task,modelA_asym_lapse,old_original_benchmark,PartialtickTimelimited,2240,0.051785714285714324,105.92984113196121,106.22747938848465
overall,modelB_decay,delta3_benchmark,ALL_TASKS,19360,1.0330578512399135e-4,40.907702255972254,42.04699020367889
task,modelB_decay,delta3_benchmark,FullcrossNoTimelimited,2600,-0.001153846153846061,-0.5663538015060112,-0.532047779646291
task,modelB_decay,delta3_benchmark,FullcrossTimelimited,2600,-0.0019230769230769162,0.2891948128703916,0.22847323270934794
task,modelB_decay,delta3_benchmark,FulltickNoTimelimited,2600,-0.0015384615384614886,-0.006944879060711173,-0.035745838004459074
task,modelB_decay,delta3_benchmark,FulltickTimelimited,2600,0.0015384615384614886,0.7760941160677248,0.7851928854684047
task,modelB_decay,delta3_benchmark,PartialcrossNoTimelimited,2240,-4.4642857142862535e-4,9.65754566270084,10.018752085017695
task,modelB_decay,delta3_benchmark,PartialcrossTimelimited,2240,8.928571428571397e-4,8.439355306882362,8.544102669385211
task,modelB_decay,delta3_benchmark,PartialtickNoTimelimited,2240,0.005357142857142949,12.596524640377083,13.13621937076482
task,modelB_decay,delta3_benchmark,PartialtickTimelimited,2240,-0.001339285714285654,9.722286397640573,9.90204357798416
overall,modelB_decay,old_original_benchmark,ALL_TASKS,19360,0.044163223140495894,672.180344680396,677.0782711975037
task,modelB_decay,old_original_benchmark,FullcrossNoTimelimited,2600,0.046923076923076956,85.5888470249879,85.94245408250572
task,modelB_decay,old_original_benchmark,FullcrossTimelimited,2600,0.030384615384615454,58.190611724008704,58.50008601364493
task,modelB_decay,old_original_benchmark,FulltickNoTimelimited,2600,0.043076923076923124,77.92728611388998,78.25610009294974
task,modelB_decay,old_original_benchmark,FulltickTimelimited,2600,0.05076923076923068,104.19048928377447,104.6191745422816
task,modelB_decay,old_original_benchmark,PartialcrossNoTimelimited,2240,0.041071428571428537,78.76304125000297,79.57363139611675
task,modelB_decay,old_original_benchmark,PartialcrossTimelimited,2240,0.04062500000000002,51.02521181418638,51.671536211769535
task,modelB_decay,old_original_benchmark,PartialtickNoTimelimited,2240,0.05491071428571437,103.72373916708989,104.86575515707568
task,modelB_decay,old_original_benchmark,PartialtickTimelimited,2240,0.046428571428571486,112.77111830245576,113.64953370115973
overall,modelC_hybrid,delta3_benchmark,ALL_TASKS,19360,0.0037706611570247897,21.733903960085172,23.66031920553587
task,modelC_hybrid,delta3_benchmark,FullcrossNoTimelimited,2600,3.8461538461542766e-4,-0.8637094614034595,-0.83672036624057
task,modelC_hybrid,delta3_benchmark,FullcrossTimelimited,2600,-3.8461538461542766e-4,-0.835574053101027,-0.8417557391028367
task,modelC_hybrid,delta3_benchmark,FulltickNoTimelimited,2600,-0.003076923076923088,0.0796184191779048,0.12688040564285075
task,modelC_hybrid,delta3_benchmark,FulltickTimelimited,2600,-0.0019230769230769162,0.8727014124831385,0.8676698165525067
task,modelC_hybrid,delta3_benchmark,PartialcrossNoTimelimited,2240,0.004464285714285698,1.621449457751396,1.8254668039462558
task,modelC_hybrid,delta3_benchmark,PartialcrossTimelimited,2240,0.013392857142857095,13.498196417578356,14.084234017132076
task,modelC_hybrid,delta3_benchmark,PartialtickNoTimelimited,2240,0.009375000000000022,0.5841044105402489,1.0631720607123043
task,modelC_hybrid,delta3_benchmark,PartialtickTimelimited,2240,0.011160714285714302,6.777117357058614,7.371372206893284
overall,modelC_hybrid,old_original_benchmark,ALL_TASKS,19360,0.047830578512396686,653.006546384509,658.6916001993607
task,modelC_hybrid,old_original_benchmark,FullcrossNoTimelimited,2600,0.048461538461538445,85.29149136509045,85.63778149591144
task,modelC_hybrid,old_original_benchmark,FullcrossTimelimited,2600,0.03192307692307694,57.065842858037286,57.42985704183275
task,modelC_hybrid,old_original_benchmark,FulltickNoTimelimited,2600,0.041538461538461524,78.0138494121286,78.41872633659705
task,modelC_hybrid,old_original_benchmark,FulltickTimelimited,2600,0.04730769230769227,104.28709658018988,104.7016514733657
task,modelC_hybrid,old_original_benchmark,PartialcrossNoTimelimited,2240,0.04598214285714286,70.72694504505353,71.38034611504531
task,modelC_hybrid,old_original_benchmark,PartialcrossTimelimited,2240,0.05312499999999998,56.08405292488237,57.2116675595164
task,modelC_hybrid,old_original_benchmark,PartialtickNoTimelimited,2240,0.05892857142857144,91.71131893725305,92.79270784702317
task,modelC_hybrid,old_original_benchmark,PartialtickTimelimited,2240,0.05892857142857144,109.8259492618738,111.11886233006885
overall,random_baseline,delta3_benchmark,ALL_TASKS,19360,-0.1859504132231405,-1684.1503641922193,-1689.0693179522434
task,random_baseline,delta3_benchmark,FullcrossNoTimelimited,2600,-0.15230769230769226,-137.86040098680246,-138.27336144923083
task,random_baseline,delta3_benchmark,FullcrossTimelimited,2600,-0.1461538461538462,-140.32796011166306,-140.79909501990278
task,random_baseline,delta3_benchmark,FulltickNoTimelimited,2600,-0.16346153846153844,-141.64573583331344,-142.09331267172274
task,random_baseline,delta3_benchmark,FulltickTimelimited,2600,-0.1776923076923077,-187.56463172038116,-188.09124475201975
task,random_baseline,delta3_benchmark,PartialcrossNoTimelimited,2240,-0.20223214285714286,-252.12782264543853,-252.81854460812679
task,random_baseline,delta3_benchmark,PartialcrossTimelimited,2240,-0.20714285714285718,-196.90852194657555,-197.62969658551515
