stage,model_id,model_label,task,feedback,time_pressure,frame,top1_accuracy,draws,n_obs,n_participants,n_trials,elpd_loo,se_elpd_loo,looic,p_loo,elpd_waic,se_elpd_waic,waic,p_waic,pareto_k_gt_0_7,pareto_k_gt_1,n_divergent,n_max_treedepth,max_rhat,min_n_eff,elapsed_sec,note
full,modelC_hybrid,Model C: Hybrid RL + BMT features,PartialtickNoTimelimited,Partial,No TP,Accept,0.725,4000,2240,56,40,-1257.9512561753004,20.926796892344562,2515.902512350601,90.9415989025593,-1256.6861242764999,20.873658480799175,2513.3722485529997,89.67646700376206,56,56,0,0,1.0080483372103002,2.0137002469884577,375.4469790458679,pilot_flagged_control_upgraded
full,modelC_hybrid,Model C: Hybrid RL + BMT features,PartialtickTimelimited,Partial,TP,Accept,0.7508928571428571,4000,2240,56,40,-1212.2716000176101,22.36930061164462,2424.5432000352203,90.93977580990162,-1210.8146374987232,22.307763771149837,2421.6292749974464,89.482813291016,56,56,0,0,1.0167385283406172,2.0131144322264407,206.35484790802002,
benchmark,old_original_benchmark,Benchmark: Old original,FullcrossNoTimelimited,Full,No TP,Reject,0.6042307692307692,6000,2600,65,40,-1750.477469295549,9.741467108307058,3500.954938591098,53.62064964948753,-1750.3838098687788,9.740498609327055,3500.7676197375577,53.52699022271414,65,65,0,0,1.0044370665186961,2.007168311510263,NA,
benchmark,old_original_benchmark,Benchmark: Old original,FullcrossTimelimited,Full,TP,Reject,0.6138461538461538,6000,2600,65,40,-1719.756126255333,11.631184014763283,3439.512252510666,56.23624186852065,-1719.6551872168905,11.629967772334835,3439.310374433781,56.13530283008066,65,65,0,0,1.00379291855388,2.009136423021484,NA,
benchmark,old_original_benchmark,Benchmark: Old original,FulltickNoTimelimited,Full,No TP,Accept,0.6188461538461538,6000,2600,65,40,-1738.471164615495,10.688553606470043,3476.94232923099,53.861365190405046,-1738.381202715089,10.687591740815517,3476.762405430178,53.77140329000272,65,65,0,0,1.0038032639934664,2.008152786330432,NA,
benchmark,old_original_benchmark,Benchmark: Old original,FulltickTimelimited,Full,TP,Accept,0.6284615384615385,6000,2600,65,40,-1718.0324329031832,11.965857264086786,3436.0648658063665,57.289199667752946,-1717.925406360651,11.964552003091065,3435.850812721302,57.18217312521771,65,65,0,0,1.0039955078457652,2.0067531347942422,NA,
benchmark,old_original_benchmark,Benchmark: Old original,PartialcrossNoTimelimited,Partial,No TP,Reject,0.6607142857142857,6000,2240,56,40,-1369.6273573961407,16.264792301092644,2739.2547147922814,71.31413725007258,-1369.3860191572494,16.259541632303268,2738.772038314499,71.07279901118102,56,56,0,0,1.0047436639818472,2.005327175376794,NA,
benchmark,old_original_benchmark,Benchmark: Old original,PartialcrossTimelimited,Partial,TP,Reject,0.6674107142857143,6000,2240,56,40,-1398.3270190150056,16.101239796555188,2796.654038030011,65.69324239337963,-1398.1474214111465,16.097394887264073,2796.294842822293,65.51364478952222,56,56,0,0,1.004750901904767,2.0049034621288517,NA,
benchmark,old_original_benchmark,Benchmark: Old original,PartialtickNoTimelimited,Partial,No TP,Accept,0.6660714285714285,6000,2240,56,40,-1349.6625751125534,16.462989561976713,2699.325150225107,64.04538616816238,-1349.4788321235233,16.459008303110377,2698.9576642470465,63.861643179132685,56,56,0,0,1.0047945652830166,2.0039463885237296,NA,
benchmark,old_original_benchmark,Benchmark: Old original,PartialtickTimelimited,Partial,TP,Accept,0.6919642857142857,6000,2240,56,40,-1322.0975492794835,18.09530904084018,2644.195098558967,58.5087569899242,-1321.933499828792,18.091140784524118,2643.866999657584,58.34470753922905,56,56,0,0,1.0060961672241773,2.0041022723811754,NA,
benchmark,random_baseline,Baseline: Random p=0.5,FullcrossNoTimelimited,Full,No TP,Reject,0.5,1,2600,65,40,-1802.1826694558576,0,3604.3653389117153,0,-1802.1826694558576,0,3604.3653389117153,0,0,0,NA,NA,NA,NA,NA,
benchmark,random_baseline,Baseline: Random p=0.5,FullcrossTimelimited,Full,TP,Reject,0.5,1,2600,65,40,-1802.1826694558576,0,3604.3653389117153,0,-1802.1826694558576,0,3604.3653389117153,0,0,0,NA,NA,NA,NA,NA,
benchmark,random_baseline,Baseline: Random p=0.5,FulltickNoTimelimited,Full,No TP,Accept,0.5,1,2600,65,40,-1802.1826694558576,0,3604.3653389117153,0,-1802.1826694558576,0,3604.3653389117153,0,0,0,NA,NA,NA,NA,NA,
benchmark,random_baseline,Baseline: Random p=0.5,FulltickTimelimited,Full,TP,Accept,0.5,1,2600,65,40,-1802.1826694558576,0,3604.3653389117153,0,-1802.1826694558576,0,3604.3653389117153,0,0,0,NA,NA,NA,NA,NA,
benchmark,random_baseline,Baseline: Random p=0.5,PartialcrossNoTimelimited,Partial,No TP,Reject,0.5,1,2240,56,40,-1552.6496844542773,0,3105.2993689085547,0,-1552.6496844542773,0,3105.2993689085547,0,0,0,NA,NA,NA,NA,NA,
benchmark,random_baseline,Baseline: Random p=0.5,PartialcrossTimelimited,Partial,TP,Reject,0.5,1,2240,56,40,-1552.6496844542773,0,3105.2993689085547,0,-1552.6496844542773,0,3105.2993689085547,0,0,0,NA,NA,NA,NA,NA,
benchmark,random_baseline,Baseline: Random p=0.5,PartialtickNoTimelimited,Partial,No TP,Accept,0.5,1,2240,56,40,-1552.6496844542773,0,3105.2993689085547,0,-1552.6496844542773,0,3105.2993689085547,0,0,0,NA,NA,NA,NA,NA,
benchmark,random_baseline,Baseline: Random p=0.5,PartialtickTimelimited,Partial,TP,Accept,0.5,1,2240,56,40,-1552.6496844542773,0,3105.2993689085547,0,-1552.6496844542773,0,3105.2993689085547,0,0,0,NA,NA,NA,NA,NA,
