changed_factor,contrast_label,fixed_context,task_plus,task_minus,parameter,diff_mean,diff_hdi95_lo,diff_hdi95_hi,hdi95_crosses_zero,posterior_tail_p
Choice Frame,Accept - Reject,"Feedback=Partial, TP=TP",PartialtickTimelimited,PartialcrossTimelimited,cf_contrib,0,0,0,TRUE,0
Time Pressure,TP - No TP,"Feedback=Full, Frame=Accept",FulltickTimelimited,FulltickNoTimelimited,beta_value,0.6258607261959549,0.07181474738369031,1.1686243920124475,FALSE,0.028000000000000025
Time Pressure,TP - No TP,"Feedback=Full, Frame=Accept",FulltickTimelimited,FulltickNoTimelimited,gamma,0.16016356038386245,0.048442618457898365,0.273596815855581,FALSE,0.006999999999999895
Time Pressure,TP - No TP,"Feedback=Full, Frame=Accept",FulltickTimelimited,FulltickNoTimelimited,rho_risky,0.016323231907763094,-0.02700504486838507,0.06837550817968288,TRUE,0.498
Time Pressure,TP - No TP,"Feedback=Full, Frame=Accept",FulltickTimelimited,FulltickNoTimelimited,cf_contrib,0,0,0,TRUE,0
Time Pressure,TP - No TP,"Feedback=Full, Frame=Reject",FullcrossTimelimited,FullcrossNoTimelimited,beta_value,-0.9692035843966874,-1.5151554444400501,-0.4482586492911139,FALSE,0.001
Time Pressure,TP - No TP,"Feedback=Full, Frame=Reject",FullcrossTimelimited,FullcrossNoTimelimited,gamma,0.13439195044923363,0.023908999419261553,0.24539981756557605,FALSE,0.02200000000000002
Time Pressure,TP - No TP,"Feedback=Full, Frame=Reject",FullcrossTimelimited,FullcrossNoTimelimited,rho_risky,-1.6842026842765913e-4,-0.04725639463378137,0.0445733437438369,TRUE,0.9815
Time Pressure,TP - No TP,"Feedback=Full, Frame=Reject",FullcrossTimelimited,FullcrossNoTimelimited,cf_contrib,0,0,0,TRUE,0
Time Pressure,TP - No TP,"Feedback=Partial, Frame=Accept",PartialtickTimelimited,PartialtickNoTimelimited,beta_value,0.6788963686429244,-0.4250283754883959,1.7919516363006647,TRUE,0.23449999999999993
Time Pressure,TP - No TP,"Feedback=Partial, Frame=Accept",PartialtickTimelimited,PartialtickNoTimelimited,gamma,0.06844986040249469,-0.08344647496588267,0.22124411001345548,TRUE,0.375
Time Pressure,TP - No TP,"Feedback=Partial, Frame=Accept",PartialtickTimelimited,PartialtickNoTimelimited,rho_risky,0.007897621020320718,-0.0457363975455049,0.0691317299421421,TRUE,0.7825
Time Pressure,TP - No TP,"Feedback=Partial, Frame=Accept",PartialtickTimelimited,PartialtickNoTimelimited,cf_contrib,0,0,0,TRUE,0
Time Pressure,TP - No TP,"Feedback=Partial, Frame=Reject",PartialcrossTimelimited,PartialcrossNoTimelimited,beta_value,-1.4654123590712838,-2.381685399299227,-0.5317077248445796,FALSE,0.0025
Time Pressure,TP - No TP,"Feedback=Partial, Frame=Reject",PartialcrossTimelimited,PartialcrossNoTimelimited,gamma,0.25298295772738394,0.1177910498046659,0.3894212550687126,FALSE,0
