draw,group,alpha,beta_restored,gamma
129,Limited,1.1597907127932647,-0.14567082420189123,0.21048103258763265
129,Unlimited,1.211856824701047,-0.28023135145162603,0.09458734686005862
130,Limited,1.0306115370708389,0.15996193237908707,0.16650568821953365
130,Unlimited,1.1353028813795174,-0.28067586895255303,0.043540909417538715
131,Limited,1.1479510824535946,-0.14837311742029163,0.2282905399858156
131,Unlimited,1.1647089268060837,-0.2839026430843977,0.07429840523005157
132,Limited,1.4510681916584598,-0.19236289198106288,0.2499174797449681
132,Unlimited,1.3270291051990333,-0.29004702652801295,0.030836260784318902
133,Limited,0.8154472112778756,-0.08978759600073458,0.24795071830238113
133,Unlimited,1.3173260927547632,-0.18863716952654352,0.10516461909550985
134,Limited,1.0206251175546233,-0.24630107132083154,0.3091211845804151
134,Unlimited,1.4946771691962146,-0.20833144818673627,0.05355063797608155
135,Limited,1.2806218926043986,-0.155504723977047,0.1130524941879775
135,Unlimited,1.1979634581927672,-0.27260363689519274,0.037851009757279924
136,Limited,1.1783730742539806,-0.07228529368209156,0.22811811643520694
136,Unlimited,1.1626078074102162,-0.2771397570861898,0.02992038894177687
137,Limited,1.0600068061952934,-0.20196223894866192,0.1545203758548917
137,Unlimited,1.1801885367243832,-0.28176327252324707,0.06557034895116337
138,Limited,1.1210934379675763,-0.24511639865046306,0.22342835095997243
138,Unlimited,1.0834338612328198,-0.03775388555231111,0.06652290617783377
139,Limited,1.107865376969216,-0.025595778275316113,0.26784218699484486
139,Unlimited,1.297710786611716,-0.07555496650582157,0.05997141031084716
140,Limited,0.9840039037319144,-0.1649546404232976,0.22975701529019046
140,Unlimited,1.097897176631516,-0.34162797834414815,0.08747448122811217
141,Limited,1.1550155998803708,-0.09013876063070503,0.1818709235211201
141,Unlimited,1.413307024326026,-0.18025159507562152,0.08589954933185266
142,Limited,1.1063943761509263,-0.02503987987737076,0.22615004242495973
142,Unlimited,1.3300084070737248,-0.27408926078078893,0.10536958027416092
143,Limited,1.2968385711326769,-0.07939801246218252,0.1906110758042683
143,Unlimited,0.9936480669705544,-0.07895869611587245,0.09008990744292143
144,Limited,1.3172348120470543,-0.1335449059259091,0.29919081626044264
144,Unlimited,1.1817325253820201,-0.18929427270943808,0.15016627850013498
145,Limited,0.9860253186229774,-0.2872086734092563,0.2610083855569849
145,Unlimited,1.0697663374058977,-0.33947020228807345,0.06663250622408984
146,Limited,1.2133203419994785,-0.16337780199060226,0.2341130492286421
146,Unlimited,1.253778370975673,-0.2746485039977649,0.06181404049337607
147,Limited,0.8645507613898141,-0.26340017516107556,0.24261988453515967
147,Unlimited,1.0423307059819342,-0.06009550735443399,0.08226716084289581
148,Limited,1.1577990442313053,-0.059004256777370756,0.18100163043200548
148,Unlimited,1.2629460602278837,-0.32993488488175243,-0.011065973458093903
149,Limited,1.310330742872652,-0.16262407553690594,0.30353969938628805
149,Unlimited,1.338530844589354,-0.11477914667613572,-0.021513740036338175
150,Limited,0.9916511460260373,-0.2940546454448174,0.22625062084313868
150,Unlimited,1.1544125746953584,-0.1343255478112222,0.12934497471581968
151,Limited,1.2163929684101216,-0.16676731068819822,0.1459913285854065
151,Unlimited,1.0570836138157482,-0.3041559694293375,0.14437801711875078
152,Limited,0.8518046770683204,-0.34818843746896094,0.3469272582598999
152,Unlimited,1.1219314835331768,-0.10077359410639872,0.055587694523438466
153,Limited,0.9485836461409735,-0.09823967172992457,0.14098758561173605
153,Unlimited,1.0623072754803433,-0.03647074011630397,0.058529302308695186
154,Limited,1.2747201861315343,-0.16252551651725727,0.2527571185858787
154,Unlimited,1.1745481406341731,-0.18904214046354953,0.08691298485877362
155,Limited,1.4585982167019302,-0.05614323602167435,0.2272074403505919
155,Unlimited,1.0630596999132436,-0.2465037721811616,0.165719408712264
156,Limited,0.9874810816107682,-0.09030193221164014,0.20589047102480315
156,Unlimited,1.1799126155812178,-0.3885822776674081,0.0432267250580413
157,Limited,1.1686609484171904,-0.0995873241137473,0.17636019504266917
157,Unlimited,0.7730978347832047,-0.3043714364460308,0.14191663384092232
158,Limited,0.9007423569643818,-0.1127678041419549,0.21112362457941264
158,Unlimited,0.964969347904186,-0.2984503339822214,0.062482731246082744
159,Limited,1.2048291994464817,-0.17449379171505783,0.18329955777951182
159,Unlimited,1.3468590238843068,-0.25349442573825476,0.07623781521415256
160,Limited,0.9871214340171132,-0.12306650458928681,0.21449299419724838
160,Unlimited,0.8943060917935403,-0.037517465659159706,0.03828065984735697
161,Limited,1.334470745820546,-0.13767103493501398,0.20050819202527698
161,Unlimited,1.1335735099492852,-0.23568513565547675,0.028663276394580137
162,Limited,1.0258344932006849,-0.2115229375290639,0.1780348038648793
162,Unlimited,1.2083347968330722,-0.36920935931069104,0.1254547573497755
163,Limited,1.1966235880792904,-0.10897274741883384,0.26644954007086785
163,Unlimited,1.4221809436991595,-0.161243186487755,-0.006296571003981474
164,Limited,0.9640950195605779,-0.19208029994170125,0.18947683100377447
164,Unlimited,1.2371120166921605,-0.31272199560857084,0.03662777972687023
165,Limited,1.203269316812465,0.0861113427837128,0.3109906842029715
165,Unlimited,1.2738236645408234,-0.13529112359462064,-0.025766863297794283
166,Limited,0.9415647743103933,-0.15780403889524605,0.23228389494327092
166,Unlimited,1.0468512653708966,-0.27671566267268405,0.05464280504385524
167,Limited,1.1542054087980795,-0.10259307768211118,0.20560131104175441
167,Unlimited,1.1506077779696815,-0.24065019627006345,0.07090859786740039
168,Limited,1.2909177405567993,-0.2776142997743584,0.18092272911415977
168,Unlimited,1.2331625326652773,-0.1860298320245312,0.04885807115744793
169,Limited,1.116304046622049,-0.06354739710325608,0.24580283173559625
169,Unlimited,1.1544397382445244,-0.17381823071827354,0.03513111950937799
170,Limited,1.0106878934433736,0.0556084660499412,0.16780860952923793
