parameter,task_a,task_b,n_draws_used,diff_mean,diff_median,diff_q025,diff_q10,diff_q90,diff_q975,p_diff_gt_0,posterior_tail_p
mu_alpha,FullcrossTimelimited,PartialcrossTimelimited,6000,-0.5981987710406669,-0.5925175976025865,-1.5105093686551239,-1.1979612791114391,-0.009912848765459288,0.29504070425051093,0.096,0.192
mu_alpha,FullcrossTimelimited,PartialtickNoTimelimited,6000,-1.301527457658801,-1.3044985307762604,-2.1507213943602324,-1.851808485617466,-0.7313063656855723,-0.472317117860628,8.333333333333334e-4,0.0016666666666666668
mu_alpha,FullcrossTimelimited,PartialtickTimelimited,6000,-1.2333966322651007,-1.2225424737692587,-2.0439617954084897,-1.760347127985894,-0.7050472166037237,-0.45178679579256265,0.0011666666666666668,0.0023333333333333335
mu_alpha,FulltickNoTimelimited,FulltickTimelimited,6000,0.3457346921389065,0.35322894709951663,-0.5255980376453948,-0.19853819759993876,0.9021196701100893,1.1950559398889888,0.789,0.42199999999999993
mu_alpha,FulltickNoTimelimited,PartialcrossNoTimelimited,6000,-0.718129017854308,-0.715909691768557,-1.559886238553109,-1.2655800110879267,-0.16491129105408808,0.12539042884323076,0.051,0.102
mu_alpha,FulltickNoTimelimited,PartialcrossTimelimited,6000,-0.47694712759108476,-0.4714014592744671,-1.4033317374671685,-1.080302444773793,0.11418826427432399,0.4396930536766776,0.149,0.298
mu_alpha,FulltickNoTimelimited,PartialtickNoTimelimited,6000,-1.180275814209219,-1.184544136374162,-2.0346491687289237,-1.730137715243989,-0.6224427369224826,-0.3365801445790981,0.0035,0.007
mu_alpha,FulltickNoTimelimited,PartialtickTimelimited,6000,-1.1121449888155188,-1.1076477257511081,-1.9281110509633312,-1.6432509774069664,-0.5838317066385638,-0.3229495523441496,0.0036666666666666666,0.007333333333333333
mu_alpha,FulltickTimelimited,PartialcrossNoTimelimited,6000,-1.0638637099932147,-1.0717270864538282,-1.920925952238341,-1.6242852669330858,-0.5026811339885834,-0.19891014005828392,0.007833333333333333,0.015666666666666666
mu_alpha,FulltickTimelimited,PartialcrossTimelimited,6000,-0.8226818197299913,-0.8209400928925119,-1.7390124128245887,-1.4077475095437375,-0.23057010200119438,0.09214859053209518,0.03783333333333333,0.07566666666666666
mu_alpha,FulltickTimelimited,PartialtickNoTimelimited,6000,-1.5260105063481255,-1.5316091280808362,-2.362756942382712,-2.0879166556774877,-0.9643663892798974,-0.6701907208391282,0,0
mu_alpha,FulltickTimelimited,PartialtickTimelimited,6000,-1.4578796809544252,-1.4547478423683071,-2.273875563100837,-1.9897692565592442,-0.9433378278736303,-0.6486690376981918,0,0
mu_alpha,PartialcrossNoTimelimited,PartialcrossTimelimited,6000,0.2411818902632233,0.24369078329192329,-0.6753489572556698,-0.36255523394856026,0.8483200692472299,1.1733753547858612,0.6951666666666667,0.6096666666666666
mu_alpha,PartialcrossNoTimelimited,PartialtickNoTimelimited,6000,-0.46214679635491096,-0.46225410775280995,-1.3147351740124362,-1.0238047877080376,0.09505881844349594,0.3926269347626941,0.14516666666666667,0.29033333333333333
mu_alpha,PartialcrossNoTimelimited,PartialtickTimelimited,6000,-0.39401597096121066,-0.4013231277081707,-1.196857499194067,-0.9139884212400978,0.1344639622092972,0.4356896053329786,0.17116666666666666,0.3423333333333333
mu_alpha,PartialcrossTimelimited,PartialtickNoTimelimited,6000,-0.7033286866181342,-0.7072203582592579,-1.6262712845983993,-1.2958547796663127,-0.10387827751928325,0.22210289591326604,0.068,0.136
mu_alpha,PartialcrossTimelimited,PartialtickTimelimited,6000,-0.6351978612244339,-0.6309000157700555,-1.4847745545220985,-1.2011152916009067,-0.07798319699371142,0.2101486265508285,0.07,0.14
mu_alpha,PartialtickNoTimelimited,PartialtickTimelimited,6000,0.0681308253937003,0.06556025213945849,-0.7498604589683643,-0.4702051345575851,0.6160748782481748,0.8846269423648548,0.559,0.8819999999999999
mu_beta,FullcrossNoTimelimited,FullcrossTimelimited,6000,-0.05692279462071892,-0.05832073088633026,-0.40540829129851497,-0.2893396868631801,0.17866753723039708,0.292869547805731,0.37683333333333335,0.7536666666666667
mu_beta,FullcrossNoTimelimited,FulltickNoTimelimited,6000,0.11267587998383434,0.11186538939835179,-0.24297924892405423,-0.12152673102319757,0.3526208681076017,0.4614732815327701,0.7298333333333333,0.5403333333333333
mu_beta,FullcrossNoTimelimited,FulltickTimelimited,6000,-0.006041280799526815,-0.0065577177104970494,-0.35200744940628903,-0.23440739149307507,0.22446604880487994,0.3384601411810686,0.4851666666666667,0.9703333333333334
mu_beta,FullcrossNoTimelimited,PartialcrossNoTimelimited,6000,0.509615459626724,0.5121636592655792,0.09794781297148963,0.23785067858527353,0.7703279770506849,0.9048884387464501,0.9938333333333333,0.012333333333333307
mu_beta,FullcrossNoTimelimited,PartialcrossTimelimited,6000,0.2098384228308898,0.21071877921091325,-0.17320126334280994,-0.044072274822611356,0.4620861359977153,0.5844238371008238,0.8613333333333333,0.27733333333333343
mu_beta,FullcrossNoTimelimited,PartialtickNoTimelimited,6000,0.8709185311887813,0.8677966516116553,0.49586650853873365,0.6253068779347689,1.1146682887515922,1.25553370229033,1,0
mu_beta,FullcrossNoTimelimited,PartialtickTimelimited,6000,0.9472967745301433,0.947168747015747,0.5935220947503475,0.7156101159497287,1.1796633962356706,1.3025532659458712,1,0
mu_beta,FullcrossTimelimited,FulltickNoTimelimited,6000,0.16959867460455325,0.16881952614441514,-0.1833878420618141,-0.06133425353969062,0.40430447439532624,0.5237012939641226,0.8241666666666667,0.35166666666666657
mu_beta,FullcrossTimelimited,FulltickTimelimited,6000,0.050881513821192104,0.049530571449801275,-0.29434985850424156,-0.17636823476918337,0.28321535153275085,0.40462169640235357,0.6088333333333333,0.7823333333333333
mu_beta,FullcrossTimelimited,PartialcrossNoTimelimited,6000,0.566538254247443,0.5657417099023456,0.158904892306008,0.300718539340755,0.838232418780232,0.9724577190477298,0.9965,0.006999999999999895
mu_beta,FullcrossTimelimited,PartialcrossTimelimited,6000,0.2667612174516087,0.2721713320411765,-0.13066608172939267,0.012280924470415927,0.51509028807068,0.6332449943573971,0.9116666666666666,0.17666666666666675
mu_beta,FullcrossTimelimited,PartialtickNoTimelimited,6000,0.9278413258095002,0.9269766780341417,0.5461367755815175,0.6820894155700322,1.1767605407928579,1.3138858871772818,1,0
